Tk,Fold,Model,Feature,Importance
IMOEX,1,RF,lag5,0.006509152273631658
IMOEX,1,RF,lag6,0.0020977584450519613
IMOEX,1,RF,lag7,0.0031980057953326976
IMOEX,1,RF,lag8,0.0066690778882208404
IMOEX,1,RF,lag9,0.002558378247053308
IMOEX,1,RF,lag10,0.003263881865528694
IMOEX,1,RF,lag11,0.001780223616065785
IMOEX,1,RF,lag12,0.0020805681715030558
IMOEX,1,RF,lag13,0.005707943509351743
IMOEX,1,RF,lag14,0.0019877948311199088
IMOEX,1,RF,lag15,0.06021735457492961
IMOEX,1,RF,lag16,0.010420456061130701
IMOEX,1,RF,lag17,0.01651310424644277
IMOEX,1,RF,lag18,0.0057342413870116295
IMOEX,1,RF,lag19,0.012689916348734143
IMOEX,1,RF,lag20,0.023641969094067603
IMOEX,1,RF,lag21,0.009415638965259704
IMOEX,1,RF,lag22,0.012111507718291644
IMOEX,1,RF,lag23,0.010811600565399645
IMOEX,1,RF,lag24,0.00439544682377971
IMOEX,1,RF,lag25,0.006299067594871599
IMOEX,1,RF,lag26,0.00654841771452472
IMOEX,1,RF,lag27,0.0032798967102717833
IMOEX,1,RF,lag28,0.013717360500725716
IMOEX,1,RF,lag29,0.002646790553852699
IMOEX,1,RF,lag30,0.002142858233168121
IMOEX,1,RF,lag31,0.002921279245980075
IMOEX,1,RF,lag32,0.0018379525826513305
IMOEX,1,RF,lag33,0.021103481651442206
IMOEX,1,RF,lag34,0.004939887778163235
IMOEX,1,RF,lag35,0.003103796568335555
IMOEX,1,RF,lag36,0.003646882914279117
IMOEX,1,RF,lag37,0.00100427256614484
IMOEX,1,RF,lag38,0.0017043230424328164
IMOEX,1,RF,lag39,0.002621111486598579
IMOEX,1,RF,lag40,0.0028044841947566174
IMOEX,1,RF,lag41,0.002346428943378493
IMOEX,1,RF,lag42,0.0034554169675327286
IMOEX,1,RF,lag43,0.005423123455443935
IMOEX,1,RF,lag44,0.007511700458811479
IMOEX,1,RF,lag45,0.004812679900772723
IMOEX,1,RF,lag46,0.0049713069192488645
IMOEX,1,RF,lag47,0.0022115693120178573
IMOEX,1,RF,lag48,0.006371041730977402
IMOEX,1,RF,lag49,0.002131057590330757
IMOEX,1,RF,lag50,0.0017784308435422468
IMOEX,1,RF,lag51,0.03648313397642959
IMOEX,1,RF,lag52,0.008914468518544822
IMOEX,1,RF,lag53,0.010609896924301962
IMOEX,1,RF,lag54,0.005064753036534836
IMOEX,1,RF,lag55,0.008076538100117495
IMOEX,1,RF,lag56,0.0024235058589331146
IMOEX,1,RF,lag57,0.0020138012813487103
IMOEX,1,RF,lag58,0.003959475500783532
IMOEX,1,RF,lag59,0.010659958275398266
IMOEX,1,RF,lag60,0.005738054137937611
IMOEX,1,RF,Brent_lag1,0.021507435681019652
IMOEX,1,RF,Brent_lag2,0.004151180016886158
IMOEX,1,RF,Brent_lag3,0.0017524020555559079
IMOEX,1,RF,Brent_lag4,0.004996315817036712
IMOEX,1,RF,Brent_lag5,0.00293785811385418
IMOEX,1,RF,Brent_lag6,0.0018886634518244683
IMOEX,1,RF,Brent_lag7,0.0022145557737440398
IMOEX,1,RF,Brent_lag8,0.004943886257451116
IMOEX,1,RF,Brent_lag9,0.0047690250734411825
IMOEX,1,RF,Brent_lag10,0.007300645522361885
IMOEX,1,RF,Brent_lag11,0.0015507687019919935
IMOEX,1,RF,Brent_lag12,0.0035106996676012633
IMOEX,1,RF,Brent_lag13,0.0017189360039933596
IMOEX,1,RF,Brent_lag14,0.003769287182191626
IMOEX,1,RF,Brent_lag15,0.003482770028171001
IMOEX,1,RF,Brent_lag16,0.008017898309765603
IMOEX,1,RF,Brent_lag17,0.0032003400487761705
IMOEX,1,RF,Brent_lag18,0.008353433595381795
IMOEX,1,RF,Brent_lag19,0.02767283710739586
IMOEX,1,RF,Brent_lag20,0.015068007445888165
IMOEX,1,RF,Brent_lag21,0.0064465489203703345
IMOEX,1,RF,Brent_lag22,0.008946945928296734
IMOEX,1,RF,Brent_lag23,0.009715978353234574
IMOEX,1,RF,Brent_lag24,0.009127226149731682
IMOEX,1,RF,USD_lag1,0.01772033977066917
IMOEX,1,RF,USD_lag2,0.0056705986301773415
IMOEX,1,RF,USD_lag3,0.00577232085696179
IMOEX,1,RF,USD_lag4,0.004014046770305165
IMOEX,1,RF,USD_lag5,0.005401994570131419
IMOEX,1,RF,USD_lag6,0.0027107607542669974
IMOEX,1,RF,USD_lag7,0.004443909009039331
IMOEX,1,RF,USD_lag8,0.007904319955327583
IMOEX,1,RF,USD_lag9,0.005497241090582369
IMOEX,1,RF,USD_lag10,0.0045163183664373415
IMOEX,1,RF,USD_lag11,0.0037279254343549366
IMOEX,1,RF,USD_lag12,0.0035267102948194416
IMOEX,1,RF,USD_lag13,0.00884645129614771
IMOEX,1,RF,USD_lag14,0.007372441289722201
IMOEX,1,RF,USD_lag15,0.0034301678686354314
IMOEX,1,RF,USD_lag16,0.0054523259050561065
IMOEX,1,RF,USD_lag17,0.0052681081187142586
IMOEX,1,RF,USD_lag18,0.002208524122129231
IMOEX,1,RF,USD_lag19,0.0034607544685677023
IMOEX,1,RF,USD_lag20,0.004394069579370611
IMOEX,1,RF,USD_lag21,0.0049731891924379235
IMOEX,1,RF,USD_lag22,0.00304464429702734
IMOEX,1,RF,USD_lag23,0.019349075591993458
IMOEX,1,RF,USD_lag24,0.008084917490840926
IMOEX,1,RF,KeyRate_lag1,7.397964476424707e-07
IMOEX,1,RF,KeyRate_lag2,0.0009468882707435011
IMOEX,1,RF,KeyRate_lag3,0.0006426292547624781
IMOEX,1,RF,KeyRate_lag4,1.568119650418082e-05
IMOEX,1,RF,KeyRate_lag5,0.00043961887355131957
IMOEX,1,RF,KeyRate_lag6,0.0002913333488170278
IMOEX,1,RF,KeyRate_lag7,3.583183040126111e-05
IMOEX,1,RF,KeyRate_lag8,0.00027789191508298275
IMOEX,1,RF,KeyRate_lag9,5.035954299647347e-05
IMOEX,1,RF,KeyRate_lag10,4.277690129616366e-05
IMOEX,1,RF,KeyRate_lag11,3.4223238924398567e-06
IMOEX,1,RF,KeyRate_lag12,2.6390390851079247e-05
IMOEX,1,RF,KeyRate_lag13,1.387148219719592e-05
IMOEX,1,RF,KeyRate_lag14,7.355856661885083e-05
IMOEX,1,RF,KeyRate_lag15,8.755089206843763e-08
IMOEX,1,RF,KeyRate_lag16,8.626853557579142e-07
IMOEX,1,RF,KeyRate_lag17,9.926197102295825e-06
IMOEX,1,RF,KeyRate_lag18,5.199180629554179e-06
IMOEX,1,RF,KeyRate_lag19,2.920570772698872e-05
IMOEX,1,RF,KeyRate_lag20,9.712449401304598e-06
IMOEX,1,RF,KeyRate_lag21,8.55696480159681e-06
IMOEX,1,RF,KeyRate_lag22,2.3715163218657298e-05
IMOEX,1,RF,KeyRate_lag23,1.4997729873398484e-06
IMOEX,1,RF,KeyRate_lag24,6.636818383500038e-05
IMOEX,1,CatBoost,Open,0.008107891525739357
IMOEX,1,CatBoost,High,0.0030899006941548087
IMOEX,1,CatBoost,Low,0.004297782465901261
IMOEX,1,CatBoost,Close,0.0025402440034553745
IMOEX,1,CatBoost,Value,0.06020312992854601
IMOEX,1,CatBoost,Volume,0.0
IMOEX,1,CatBoost,SMA_5,0.005351050096637982
IMOEX,1,CatBoost,SMA_10,0.003095122811513459
IMOEX,1,CatBoost,SMA_20,0.004243888985806144
IMOEX,1,CatBoost,EMA_5,0.0015968860571530948
IMOEX,1,CatBoost,EMA_10,0.0018816538368107438
IMOEX,1,CatBoost,EMA_20,0.002093582167265915
IMOEX,1,CatBoost,BBH,0.0035171538301507657
IMOEX,1,CatBoost,BBL,0.0013007785572490902
IMOEX,1,CatBoost,RSI_50,0.011827134965239185
IMOEX,1,CatBoost,StochK,0.038695594156931246
IMOEX,1,CatBoost,StochD,0.033258182419896164
IMOEX,1,CatBoost,ATR_50,0.011189671155577702
IMOEX,1,CatBoost,OBV,0.0
IMOEX,1,CatBoost,MACD,0.019004676679657738
IMOEX,1,CatBoost,MACD_SIGNAL,0.01693265393835928
IMOEX,1,CatBoost,MACD_DIFF,0.022115714902936217
IMOEX,1,CatBoost,ADX_14,0.016544728335050978
IMOEX,1,CatBoost,CCI_20,0.0178988137490778
IMOEX,1,CatBoost,ROC_10,0.01878633599971617
IMOEX,1,CatBoost,WILLR_14,0.02589180400967075
IMOEX,1,CatBoost,lag1,0.007280242194979458
IMOEX,1,CatBoost,lag2,0.0031359119224223984
IMOEX,1,CatBoost,lag3,0.003322543938697949
IMOEX,1,CatBoost,lag4,0.006435879410002186
IMOEX,1,CatBoost,lag5,0.004142649935266977
IMOEX,1,CatBoost,lag6,0.0009716890574535587
IMOEX,1,CatBoost,lag7,0.0036412875185310124
IMOEX,1,CatBoost,lag8,0.0021308346982905116
